Name;Occurrence;XPath;EnhancedDefinition;Class;Codes;Pattern;TotalDigits;FractionDigits
OBReadTransaction1;;OBReadTransaction1;;OBReadTransaction1;;;;
Data;1..1;OBReadTransaction1/Data;;OBReadDataTransaction1;;;;
Transaction;0..n;OBReadTransaction1/Data/Transaction;Provides further details on an entry in the report.;OBTransaction1;;;;
AccountId;1..1;OBReadTransaction1/Data/Transaction/AccountId;A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.;Max40Text;;;;
TransactionId;0..1;OBReadTransaction1/Data/Transaction/TransactionId;Unique identifier for the transaction within an servicing institution. This identifier is both unique and immutable.;Max40Text;;;;
TransactionReference;0..1;OBReadTransaction1/Data/Transaction/TransactionReference;Unique reference for the transaction. This reference is optionally populated, and may as an example be the FPID in the Faster Payments context.;Max35Text;;;;
Amount;1..1;OBReadTransaction1/Data/Transaction/Amount;Amount of money in the cash transaction entry.;ActiveOrHistoricCurrencyAndAmount;;;18;5
Currency;1..1;OBReadTransaction1/Data/Transaction/Amount/Currency;"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";ActiveOrHistoricCurrencyCode;;^[A-Z]{3,3}$;;
CreditDebitIndicator;1..1;OBReadTransaction1/Data/Transaction/CreditDebitIndicator;Indicates whether the transaction is a credit or a debit entry.;OBCreditDebitCode;"Credit
Debit";;;
Status;1..1;OBReadTransaction1/Data/Transaction/Status;Status of a transaction entry on the books of the account servicer.;OBEntryStatus1Code;"Booked
Pending";;;
BookingDateTime;1..1;OBReadTransaction1/Data/Transaction/BookingDateTime;"Date and time when a transaction entry is posted to an account on the account servicer's books.

Usage: Booking date is the expected booking date, unless the status is booked, in which case it is the actual booking date.";ISODateTime;;;;
ValueDateTime;0..1;OBReadTransaction1/Data/Transaction/ValueDateTime;"Date and time at which assets become available to the account owner in case of a credit entry, or cease to be available to the account owner in case of a debit transaction entry.
Usage: If transaction entry status is pending and value date is present, then the value date refers to an expected/requested value date.
For transaction entries subject to availability/float and for which availability information is provided, the value date must not be used. In this case the availability component identifies the number of availability days.";ISODateTime;;;;
TransactionInformation;0..1;OBReadTransaction1/Data/Transaction/TransactionInformation;"Further details of the transaction. 
This is the transaction narrative, which is unstructured text.";Max500Text;;;;
AddressLine;0..1;OBReadTransaction1/Data/Transaction/AddressLine;Information that locates and identifies a specific address for a transaction entry, that is presented in free format text.;Max70Text;;;;
BankTransactionCode;0..1;OBReadTransaction1/Data/Transaction/BankTransactionCode;Set of elements used to fully identify the type of underlying transaction resulting in an entry.;OBBankTransactionCodeStructure1;;;;
Code;1..1;OBReadTransaction1/Data/Transaction/BankTransactionCode/Code;Specifies the family within a domain.;ExternalBankTransactionFamily1Code;;;;
SubCode;1..1;OBReadTransaction1/Data/Transaction/BankTransactionCode/SubCode;Specifies the sub-product family within a specific family.;ExternalBankTransactionSubFamily1Code;;;;
ProprietaryBankTransactionCode;0..1;OBReadTransaction1/Data/Transaction/ProprietaryBankTransactionCode;Set of elements to fully identify a proprietary bank transaction code.;ProprietaryBankTransactionCodeStructure1;;;;
Code;1..1;OBReadTransaction1/Data/Transaction/ProprietaryBankTransactionCode/Code;Proprietary bank transaction code to identify the underlying transaction.;Max35Text;;;;
Issuer;0..1;OBReadTransaction1/Data/Transaction/ProprietaryBankTransactionCode/Issuer;Identification of the issuer of the proprietary bank transaction code.;Max35Text;;;;
Balance;0..1;OBReadTransaction1/Data/Transaction/Balance;Set of elements used to define the balance as a numerical representation of the net increases and decreases in an account after a transaction entry is applied to the account.;OBTransactionCashBalance;;;;
Amount;1..1;OBReadTransaction1/Data/Transaction/Balance/Amount;Amount of money of the cash balance after a transaction entry is applied to the account..;ActiveOrHistoricCurrencyAndAmount;;;18;5
Currency;1..1;OBReadTransaction1/Data/Transaction/Balance/Amount/Currency;"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";ActiveOrHistoricCurrencyCode;;^[A-Z]{3,3}$;;
CreditDebitIndicator;1..1;OBReadTransaction1/Data/Transaction/Balance/CreditDebitIndicator;"Indicates whether the balance is a credit or a debit balance. 
Usage: A zero balance is considered to be a credit balance.";OBCreditDebitCode;"Credit
Debit";;;
Type;1..1;OBReadTransaction1/Data/Transaction/Balance/Type;Balance type, in a coded form.;OBBalanceType1Code;"ClosingAvailable
ClosingBooked
Expected
ForwardAvailable
Information
InterimAvailable
InterimBooked
OpeningAvailable
OpeningBooked
PreviouslyClosedBooked";;;
MerchantDetails;0..1;OBReadTransaction1/Data/Transaction/MerchantDetails;Details of the merchant involved in the transaction.;OBMerchantDetails1;;;;
MerchantName;0..1;OBReadTransaction1/Data/Transaction/MerchantDetails/MerchantName;Name by which the merchant is known.;Max350Text;;;;
MerchantCategoryCode;0..1;OBReadTransaction1/Data/Transaction/MerchantDetails/MerchantCategoryCode;Category code conform to ISO 18245, related to the type of services or goods the merchant provides for the transaction.;Min3Max4Text;;;;
