"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBReadTransaction2";"";"OBReadTransaction2";"";"OBReadTransaction2";"";"";"";""
"Data";"1..1";"OBReadTransaction2/Data";"";"OBReadDataTransaction2";"";"";"";""
"Transaction";"0..n";"OBReadTransaction2/Data/Transaction";"Provides further details on an entry in the report.";"OBTransaction2";"";"";"";""
"AccountId";"1..1";"OBReadTransaction2/Data/Transaction/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"TransactionId";"0..1";"OBReadTransaction2/Data/Transaction/TransactionId";"Unique identifier for the transaction within an servicing institution. This identifier is both unique and immutable.";"Max40Text";"";"";"";""
"TransactionReference";"0..1";"OBReadTransaction2/Data/Transaction/TransactionReference";"Unique reference for the transaction. This reference is optionally populated, and may as an example be the FPID in the Faster Payments context.";"Max35Text";"";"";"";""
"StatementReference";"0..n";"OBReadTransaction2/Data/Transaction/StatementReference";"Unique reference for the statement. This reference may be optionally populated if available.";"Max35Text";"";"";"";""
"Amount";"1..1";"OBReadTransaction2/Data/Transaction/Amount";"Amount of money in the cash transaction entry.";"ActiveOrHistoricCurrencyAndAmount";"";"";"18";"5"
"Currency";"1..1";"OBReadTransaction2/Data/Transaction/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CreditDebitIndicator";"1..1";"OBReadTransaction2/Data/Transaction/CreditDebitIndicator";"Indicates whether the transaction is a credit or a debit entry.";"OBCreditDebitCode";"Credit
Debit";"";"";""
"Status";"1..1";"OBReadTransaction2/Data/Transaction/Status";"Status of a transaction entry on the books of the account servicer.";"OBEntryStatus1Code";"Booked
Pending";"";"";""
"BookingDateTime";"1..1";"OBReadTransaction2/Data/Transaction/BookingDateTime";"Date and time when a transaction entry is posted to an account on the account servicer's books.

Usage: Booking date is the expected booking date, unless the status is booked, in which case it is the actual booking date.";"ISODateTime";"";"";"";""
