"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBReadBeneficiary2";"";"OBReadBeneficiary2";"";"OBReadBeneficiary2";"";"";"";""
"Data";"1..1";"OBReadBeneficiary2/Data";"";"OBReadDataBeneficiary2";"";"";"";""
"Beneficiary";"0..n";"OBReadBeneficiary2/Data/Beneficiary";"";"OBBeneficiary2";"";"";"";""
"AccountId";"0..1";"OBReadBeneficiary2/Data/Beneficiary/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"BeneficiaryId";"0..1";"OBReadBeneficiary2/Data/Beneficiary/BeneficiaryId";"A unique and immutable identifier used to identify the beneficiary resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"Reference";"0..1";"OBReadBeneficiary2/Data/Beneficiary/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.";"Max35Text";"";"";"";""
"CreditorAgent";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent";"Party that manages the account on behalf of the account owner, that is manages the registration and booking of entries on the account, calculates balances on the account and provides information about the account.
This is the servicer of the beneficiary account.";"OBBranchAndFinancialInstitutionIdentification3";"";"";"";""
"SchemeName";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalFinancialInstitutionIdentification2Code";"BICFI";"";"";""
"Identification";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/Identification";"Unique and unambiguous identification of the servicing institution.";"Max35Text";"";"";"";""
"Name";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/Name";"Name by which an agent is known and which is usually used to identify that agent.";"Max140Text";"";"";"";""
"PostalAddress";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"PostalAddress6";"";"";"";""
"AddressType";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/AddressType";"Identifies the nature of the postal address.";"AddressType2Code";"ADDR
BIZZ
DLVY
HOME
MLTO
PBOX";"";"";""
"Department";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";""
"SubDepartment";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";""
"StreetName";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";""
"BuildingNumber";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";""
"PostCode";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";""
"TownName";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";""
"CountrySubDivision";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";""
"Country";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/Country";"Nation with its own government.";"CountryCode";"";"[A-Z]{2,2}";"";""
"AddressLine";"0..7";"OBReadBeneficiary2/Data/Beneficiary/CreditorAgent/PostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";""
"CreditorAccount";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAccount";"Provides the details to identify the beneficiary account.";"OBCashAccount1";"";"";"";""
"SchemeName";"1..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification2Code";"IBAN
SortCodeAccountNumber";"";"";""
"Identification";"1..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max34Text";"";"";"";""
"Name";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution, in agreement with the account owner in order to provide an additional means of identification of the account.

Usage: The account name is different from the account owner name. The account name is used in certain user communities to provide a means of identifying the account, in addition to the account owner's identity and the account number.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBReadBeneficiary2/Data/Beneficiary/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
