"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBReadDirectDebit1";"";"OBReadDirectDebit1";"";"OBReadDirectDebit1";"";"";"";""
"Data";"1..1";"OBReadDirectDebit1/Data";"";"OBReadDataDirectDebit1";"";"";"";""
"DirectDebit";"0..n";"OBReadDirectDebit1/Data/DirectDebit";"Account to or from which a cash entry is made.";"OBDirectDebit1";"";"";"";""
"AccountId";"1..1";"OBReadDirectDebit1/Data/DirectDebit/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"DirectDebitId";"0..1";"OBReadDirectDebit1/Data/DirectDebit/DirectDebitId";"A unique and immutable identifier used to identify the direct debit resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"MandateIdentification";"1..1";"OBReadDirectDebit1/Data/DirectDebit/MandateIdentification";"Direct Debit reference. For AUDDIS service users provide Core Reference. For non AUDDIS service users provide Core reference if possible or last used reference.";"Max35Text";"";"";"";""
"DirectDebitStatusCode";"0..1";"OBReadDirectDebit1/Data/DirectDebit/DirectDebitStatusCode";"Specifies the status of the direct debit in code form.";"OBExternalDirectDebitStatus1Code";"Active
Inactive";"";"";""
"Name";"1..1";"OBReadDirectDebit1/Data/DirectDebit/Name";"Name of Service User.";"Max70Text";"";"";"";""
"PreviousPaymentDateTime";"0..1";"OBReadDirectDebit1/Data/DirectDebit/PreviousPaymentDateTime";"Date of most recent direct debit collection.";"ISODateTime";"";"";"";""
"PreviousPaymentAmount";"0..1";"OBReadDirectDebit1/Data/DirectDebit/PreviousPaymentAmount";"The amount of the most recent direct debit collection.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBReadDirectDebit1/Data/DirectDebit/PreviousPaymentAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"ActiveCurrencyAndAmount_SimpleType";"";"";"18";"5"
"Currency";"1..1";"OBReadDirectDebit1/Data/DirectDebit/PreviousPaymentAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
