"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBReadScheduledPayment1";"";"OBReadScheduledPayment1";"";"OBReadScheduledPayment1";"";"";"";""
"Data";"1..1";"OBReadScheduledPayment1/Data";"";"OBReadDataScheduledPayment1";"";"";"";""
"ScheduledPayment";"0..n";"OBReadScheduledPayment1/Data/ScheduledPayment";"";"OBScheduledPayment1";"";"";"";""
"AccountId";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"ScheduledPaymentId";"0..1";"OBReadScheduledPayment1/Data/ScheduledPayment/ScheduledPaymentId";"A unique and immutable identifier used to identify the scheduled payment resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"ScheduledPaymentDateTime";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/ScheduledPaymentDateTime";"The date on which the scheduled payment will be made.";"ISODateTime";"";"";"";""
"ScheduledType";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/ScheduledType";"Specifies the scheduled payment date type requested";"OBExternalScheduleType1Code";"Arrival
Execution";"";"";""
"Reference";"0..1";"OBReadScheduledPayment1/Data/ScheduledPayment/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.";"Max35Text";"";"";"";""
"InstructedAmount";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.

Usage: This amount has to be transported unchanged through the transaction chain.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"ActiveCurrencyAndAmount_SimpleType";"";"^d{1,13}.d{1,5}$";"18";"5"
"Currency";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CreditorAgent";"0..1";"OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAgent";"Party that manages the account on behalf of the account owner, that is manages the registration and booking of entries on the account, calculates balances on the account and provides information about the account.
This is the servicer of the beneficiary account.";"OBBranchAndFinancialInstitutionIdentification4";"";"";"";""
"SchemeName";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAgent/Identification";"Unique and unambiguous identification of the servicing institution.";"Max35Text";"";"";"";""
"CreditorAccount";"0..1";"OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAccount";"Provides the details to identify the beneficiary account.";"OBCashAccount3";"";"";"";""
"SchemeName";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAccount/Identification";"Beneficiary account identification.";"Max256Text";"";"";"";""
"Name";"0..1";"OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBReadScheduledPayment1/Data/ScheduledPayment/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
