"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBReadTransaction3";"";"OBReadTransaction3";"";"OBReadTransaction3";"";"";"";""
"Data";"1..1";"OBReadTransaction3/Data";"";"OBReadDataTransaction3";"";"";"";""
"Transaction";"0..n";"OBReadTransaction3/Data/Transaction";"Provides further details on an entry in the report.";"OBTransaction3";"";"";"";""
"AccountId";"1..1";"OBReadTransaction3/Data/Transaction/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"TransactionId";"0..1";"OBReadTransaction3/Data/Transaction/TransactionId";"Unique identifier for the transaction within an servicing institution. This identifier is both unique and immutable.";"Max40Text";"";"";"";""
"TransactionReference";"0..1";"OBReadTransaction3/Data/Transaction/TransactionReference";"Unique reference for the transaction. This reference is optionally populated, and may as an example be the FPID in the Faster Payments context.";"Max35Text";"";"";"";""
"StatementReference";"0..n";"OBReadTransaction3/Data/Transaction/StatementReference";"Unique reference for the statement. This reference may be optionally populated if available.";"Max35Text";"";"";"";""
"CreditDebitIndicator";"1..1";"OBReadTransaction3/Data/Transaction/CreditDebitIndicator";"Indicates whether the transaction is a credit or a debit entry.";"OBCreditDebitCode";"Credit
Debit";"";"";""
"Status";"1..1";"OBReadTransaction3/Data/Transaction/Status";"Status of a transaction entry on the books of the account servicer.";"OBEntryStatus1Code";"Booked
Pending";"";"";""
"BookingDateTime";"1..1";"OBReadTransaction3/Data/Transaction/BookingDateTime";"Date and time when a transaction entry is posted to an account on the account servicer's books.

Usage: Booking date is the expected booking date, unless the status is booked, in which case it is the actual booking date.";"ISODateTime";"";"";"";""
"ValueDateTime";"0..1";"OBReadTransaction3/Data/Transaction/ValueDateTime";"Date and time at which assets become available to the account owner in case of a credit entry, or cease to be available to the account owner in case of a debit transaction entry.
Usage: If transaction entry status is pending and value date is present, then the value date refers to an expected/requested value date.
For transaction entries subject to availability/float and for which availability information is provided, the value date must not be used. In this case the availability component identifies the number of availability days.";"ISODateTime";"";"";"";""
"TransactionInformation";"0..1";"OBReadTransaction3/Data/Transaction/TransactionInformation";"Further details of the transaction. 
This is the transaction narrative, which is unstructured text.";"Max500Text";"";"";"";""
"AddressLine";"0..1";"OBReadTransaction3/Data/Transaction/AddressLine";"Information that locates and identifies a specific address for a transaction entry, that is presented in free format text.";"Max70Text";"";"";"";""
"Amount";"1..1";"OBReadTransaction3/Data/Transaction/Amount";"Amount of money in the cash transaction entry.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBReadTransaction3/Data/Transaction/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"ActiveCurrencyAndAmount_SimpleType";"";"^d{1,13}.d{1,5}$";"18";"5"
"Currency";"1..1";"OBReadTransaction3/Data/Transaction/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"ChargeAmount";"0..1";"OBReadTransaction3/Data/Transaction/ChargeAmount";"Transaction charges to be paid by the charge bearer.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBReadTransaction3/Data/Transaction/ChargeAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"ActiveCurrencyAndAmount_SimpleType";"";"^d{1,13}.d{1,5}$";"18";"5"
"Currency";"1..1";"OBReadTransaction3/Data/Transaction/ChargeAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CurrencyExchange";"0..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange";"Set of elements used to provide details on the currency exchange.";"OBCurrencyExchange5";"";"";"";""
"SourceCurrency";"1..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange/SourceCurrency";"Currency from which an amount is to be converted in a currency conversion.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"TargetCurrency";"0..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange/TargetCurrency";"Currency into which an amount is to be converted in a currency conversion.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"UnitCurrency";"0..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange/UnitCurrency";"Currency in which the rate of exchange is expressed in a currency exchange. In the example 1GBP = xxxCUR, the unit currency is GBP.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"ExchangeRate";"1..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange/ExchangeRate";"Factor used to convert an amount from one currency into another. This reflects the price at which one currency was bought with another currency.

Usage: ExchangeRate expresses the ratio between UnitCurrency and QuotedCurrency (ExchangeRate = UnitCurrency/QuotedCurrency).";"BaseOneRate";"";"";"11";"10"
"ContractIdentification";"0..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange/ContractIdentification";"Unique identification to unambiguously identify the foreign exchange contract.";"Max35Text";"";"";"";""
"QuotationDate";"0..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange/QuotationDate";"Date and time at which an exchange rate is quoted.";"ISODateTime";"";"";"";""
"InstructedAmount";"0..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"ActiveCurrencyAndAmount_SimpleType";"";"^d{1,13}.d{1,5}$";"18";"5"
"Currency";"1..1";"OBReadTransaction3/Data/Transaction/CurrencyExchange/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"BankTransactionCode";"0..1";"OBReadTransaction3/Data/Transaction/BankTransactionCode";"Set of elements used to fully identify the type of underlying transaction resulting in an entry.";"OBBankTransactionCodeStructure1";"";"";"";""
"Code";"1..1";"OBReadTransaction3/Data/Transaction/BankTransactionCode/Code";"Specifies the family within a domain.";"ExternalBankTransactionFamily1Code";"";"";"";""
"SubCode";"1..1";"OBReadTransaction3/Data/Transaction/BankTransactionCode/SubCode";"Specifies the sub-product family within a specific family.";"ExternalBankTransactionSubFamily1Code";"";"";"";""
"ProprietaryBankTransactionCode";"0..1";"OBReadTransaction3/Data/Transaction/ProprietaryBankTransactionCode";"Set of elements to fully identify a proprietary bank transaction code.";"ProprietaryBankTransactionCodeStructure1";"";"";"";""
