"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBEventNotification1";"";"OBEventNotification1";"The resource-update event.";"OBEventNotification1";"";"";"";""
"iss";"1..1";"OBEventNotification1/iss";"Issuer.";"xs:anyURI";"";"";"";""
"iat";"1..1";"OBEventNotification1/iat";"Issued At. ";"Max10NumericText";"";"[0-9]{1,10}";"";""
"jti";"1..1";"OBEventNotification1/jti";"JWT ID.";"Max128Text";"";"";"";""
"aud";"1..1";"OBEventNotification1/aud";"Audience.";"Max128Text";"";"";"";""
"sub";"1..1";"OBEventNotification1/sub";"Subject.";"xs:anyURI";"";"";"";""
"txn";"1..1";"OBEventNotification1/txn";"Transaction Identifier.";"Max128Text";"";"";"";""
"toe";"1..1";"OBEventNotification1/toe";"Time of Event.";"Max10NumericText";"";"[0-9]{1,10}";"";""
"events";"1..1";"OBEventNotification1/events";"Events.";"OBEvent1";"";"";"";""
"urn:uk:org:openbanking:events:resource-update";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update";"Resource-Update Event.";"OBEventSubject1";"";"";"";""
"subject";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject";"The resource-update event.";"OBEventResourceUpdate1";"";"";"";""
"subject_type";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/subject_type";"Subject type for the updated resource. ";"Max128Text";"http://openbanking.org.uk/rid_http://openbanking.org.uk/rty";"";"";""
"rid";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/http://openbanking.org.uk/rid";"Resource Id for the updated resource.";"Max128Text";"";"";"";""
"rty";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/http://openbanking.org.uk/rty";"Resource Type for the updated resource.";"Max128Text";"";"";"";""
"rlk";"1..n";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/http://openbanking.org.uk/rlk";"Resource links to other available versions of the resource.";"OBEventLink1";"";"";"";""
"version";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/http://openbanking.org.uk/rlk/version";"Resource version.";"Max10Text";"";"";"";""
"link";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/http://openbanking.org.uk/rlk/link";"Resource link.";"xs:anyURI";"";"";"";""
