"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBWriteDomesticScheduledResponse1";"";"OBWriteDomesticScheduledResponse1";"";"OBWriteDomesticScheduledResponse1";"";"";"";""
"Data";"1..1";"OBWriteDomesticScheduledResponse1/Data";"";"OBWriteDataDomesticScheduledResponse1";"";"";"";""
"DomesticScheduledPaymentId";"1..1";"OBWriteDomesticScheduledResponse1/Data/DomesticScheduledPaymentId";"OB: Unique identification as assigned by the ASPSP to uniquely identify the domestic schedule payment resource.";"Max40Text";"";"";"";""
"ConsentId";"1..1";"OBWriteDomesticScheduledResponse1/Data/ConsentId";"OB: Unique identification as assigned by the ASPSP to uniquely identify the consent resource.";"Max128Text";"";"";"";""
"CreationDateTime";"1..1";"OBWriteDomesticScheduledResponse1/Data/CreationDateTime";"Date and time at which the message was created.";"ISODateTime";"";"";"";""
"Status";"1..1";"OBWriteDomesticScheduledResponse1/Data/Status";"Specifies the status of the payment order resource.";"OBExternalStatus1Code";"InitiationCompleted
InitiationFailed
InitiationPending";"";"";""
"StatusUpdateDateTime";"1..1";"OBWriteDomesticScheduledResponse1/Data/StatusUpdateDateTime";"Date and time at which the resource status was updated.";"ISODateTime";"";"";"";""
"ExpectedExecutionDateTime";"0..1";"OBWriteDomesticScheduledResponse1/Data/ExpectedExecutionDateTime";"Expected execution date and time for the payment resource.";"ISODateTime";"";"";"";""
"ExpectedSettlementDateTime";"0..1";"OBWriteDomesticScheduledResponse1/Data/ExpectedSettlementDateTime";"Expected settlement date and time for the payment resource.";"ISODateTime";"";"";"";""
"Charges";"0..n";"OBWriteDomesticScheduledResponse1/Data/Charges";"Set of elements used to provide details of a charge for the payment initiation.";"OBCharge1";"";"";"";""
"ChargeBearer";"1..1";"OBWriteDomesticScheduledResponse1/Data/Charges/ChargeBearer";"Specifies which party/parties will bear the charges associated with the processing of the payment transaction.";"OBChargeBearerType1Code";"BorneByCreditor
BorneByDebtor
FollowingServiceLevel
Shared";"";"";""
"Type";"1..1";"OBWriteDomesticScheduledResponse1/Data/Charges/Type";"Charge type, in a coded form.";"Max40Text";"";"";"";""
"Amount";"1..1";"OBWriteDomesticScheduledResponse1/Data/Charges/Amount";"Amount of money associated with the charge type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBWriteDomesticScheduledResponse1/Data/Charges/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";""
"Currency";"1..1";"OBWriteDomesticScheduledResponse1/Data/Charges/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"Initiation";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation";"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single scheduled domestic payment.";"OBDomesticScheduled1";"";"";"";""
"InstructionIdentification";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/InstructionIdentification";"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.

Usage: the  instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction. It can be included in several messages related to the instruction.";"Max35Text";"";"";"";""
"EndToEndIdentification";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/EndToEndIdentification";"Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain.

Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction. It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field.";"Max35Text";"";"";"";""
"LocalInstrument";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/LocalInstrument";"User community specific instrument.

Usage: This element is used to specify a local instrument, local clearing option and/or further qualify the service or service level.";"Max35Text";"";"";"";""
"RequestedExecutionDateTime";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/RequestedExecutionDateTime";"Date at which the initiating party requests the clearing agent to process the payment. 
Usage: This is the date on which the debtor's account is to be debited.";"ISODateTime";"";"";"";""
"InstructedAmount";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.

Usage: This amount has to be transported unchanged through the transaction chain.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";""
"Currency";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
