"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBWriteFileConsentResponse1";"";"OBWriteFileConsentResponse1";"";"OBWriteFileConsentResponse1";"";"";"";""
"Data";"1..1";"OBWriteFileConsentResponse1/Data";"";"OBWriteDataFileConsentResponse1";"";"";"";""
"ConsentId";"1..1";"OBWriteFileConsentResponse1/Data/ConsentId";"OB: Unique identification as assigned by the ASPSP to uniquely identify the consent resource.";"Max128Text";"";"";"";""
"CreationDateTime";"1..1";"OBWriteFileConsentResponse1/Data/CreationDateTime";"Date and time at which the resource was created.";"ISODateTime";"";"";"";""
"Status";"1..1";"OBWriteFileConsentResponse1/Data/Status";"Specifies the status of consent resource in code form.";"OBExternalConsentStatus2Code";"Authorised
AwaitingAuthorisation
AwaitingUpload
Consumed
Rejected";"";"";""
"StatusUpdateDateTime";"1..1";"OBWriteFileConsentResponse1/Data/StatusUpdateDateTime";"Date and time at which the consent resource status was updated.";"ISODateTime";"";"";"";""
"CutOffDateTime";"0..1";"OBWriteFileConsentResponse1/Data/CutOffDateTime";"Specified cut-off date and time for the payment consent.";"ISODateTime";"";"";"";""
"Charges";"0..n";"OBWriteFileConsentResponse1/Data/Charges";"Set of elements used to provide details of a charge for the payment initiation.";"OBCharge1";"";"";"";""
"ChargeBearer";"1..1";"OBWriteFileConsentResponse1/Data/Charges/ChargeBearer";"Specifies which party/parties will bear the charges associated with the processing of the payment transaction.";"OBChargeBearerType1Code";"BorneByCreditor
BorneByDebtor
FollowingServiceLevel
Shared";"";"";""
"Type";"1..1";"OBWriteFileConsentResponse1/Data/Charges/Type";"Charge type, in a coded form.";"Max40Text";"";"";"";""
"Amount";"1..1";"OBWriteFileConsentResponse1/Data/Charges/Amount";"Amount of money associated with the charge type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBWriteFileConsentResponse1/Data/Charges/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"ActiveCurrencyAndAmount_SimpleType";"";"";"18";"5"
"Currency";"1..1";"OBWriteFileConsentResponse1/Data/Charges/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"Initiation";"1..1";"OBWriteFileConsentResponse1/Data/Initiation";"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds using a payment file.";"OBFile1";"";"";"";""
"FileType";"1..1";"OBWriteFileConsentResponse1/Data/Initiation/FileType";"Specifies the payment file type.";"Max40Text";"";"";"";""
"FileHash";"1..1";"OBWriteFileConsentResponse1/Data/Initiation/FileHash";"A base64 encoding of a SHA256 hash of the file to be uploaded.";"Max44Text";"";"";"";""
"FileReference";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/FileReference";"Reference for the file.";"Max40Text";"";"";"";""
"NumberOfTransactions";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/NumberOfTransactions";"Number of individual transactions contained in the payment information group.";"Max15NumericText";"";"[0-9]{1,15}";"";""
"ControlSum";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/ControlSum";"Total of all individual amounts included in the group, irrespective of currencies.";"DecimalNumber";"";"";"18";"17"
"RequestedExecutionDateTime";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/RequestedExecutionDateTime";"Date at which the initiating party requests the clearing agent to process the payment. 
Usage: This is the date on which the debtor's account is to be debited.";"ISODateTime";"";"";"";""
"LocalInstrument";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/LocalInstrument";"User community specific instrument.

Usage: This element is used to specify a local instrument, local clearing option and/or further qualify the service or service level.";"Max35Text";"";"";"";""
"DebtorAccount";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/DebtorAccount";"Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction.";"OBCashAccountDebtor3";"";"";"";""
"SchemeName";"1..1";"OBWriteFileConsentResponse1/Data/Initiation/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBWriteFileConsentResponse1/Data/Initiation/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";""
"Name";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/DebtorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"RemittanceInformation";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/RemittanceInformation";"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system.";"OBRemittanceInformation1";"";"";"";""
"Unstructured";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/RemittanceInformation/Unstructured";"Information supplied to enable the matching/reconciliation of an entry with the items that the payment is intended to settle, such as commercial invoices in an accounts' receivable system, in an unstructured form.";"Max140Text";"";"";"";""
"Reference";"0..1";"OBWriteFileConsentResponse1/Data/Initiation/RemittanceInformation/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.
OB: The Faster Payments Scheme can only accept 18 characters for the ReferenceInformation field - which is where this ISO field will be mapped.";"Max35Text";"";"";"";""
"Authorisation";"0..1";"OBWriteFileConsentResponse1/Data/Authorisation";"The authorisation type request from the TPP.";"OBAuthorisation1";"";"";"";""
"AuthorisationType";"1..1";"OBWriteFileConsentResponse1/Data/Authorisation/AuthorisationType";"Type of authorisation flow requested.";"OBExternalAuthorisation1Code";"Any
Multiple
Single";"";"";""
"CompletionDateTime";"0..1";"OBWriteFileConsentResponse1/Data/Authorisation/CompletionDateTime";"Date and time at which the requested authorisation flow must be completed.";"ISODateTime";"";"";"";""
