"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBWriteDomesticScheduledConsent1";"";"OBWriteDomesticScheduledConsent1";"";"OBWriteDomesticScheduledConsent1";"";"";"";""
"Data";"1..1";"OBWriteDomesticScheduledConsent1/Data";"";"OBWriteDataDomesticScheduledConsent1";"";"";"";""
"Permission";"1..1";"OBWriteDomesticScheduledConsent1/Data/Permission";"Specifies the Open Banking service request types. ";"OBExternalPermissions2Code";"Create";"";"";""
"Initiation";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation";"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single scheduled domestic payment.";"OBDomesticScheduled1";"";"";"";""
"InstructionIdentification";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/InstructionIdentification";"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.

Usage: the  instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction. It can be included in several messages related to the instruction.";"Max35Text";"";"";"";""
"EndToEndIdentification";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/EndToEndIdentification";"Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain.

Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction. It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field.";"Max35Text";"";"";"";""
"LocalInstrument";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/LocalInstrument";"User community specific instrument.

Usage: This element is used to specify a local instrument, local clearing option and/or further qualify the service or service level.";"Max35Text";"";"";"";""
"RequestedExecutionDateTime";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/RequestedExecutionDateTime";"Date at which the initiating party requests the clearing agent to process the payment. 
Usage: This is the date on which the debtor's account is to be debited.";"ISODateTime";"";"";"";""
"InstructedAmount";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.

Usage: This amount has to be transported unchanged through the transaction chain.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";""
"Currency";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"DebtorAccount";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/DebtorAccount";"Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction.";"OBCashAccountDebtor3";"";"";"";""
"SchemeName";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";""
"Name";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/DebtorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"CreditorAccount";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorAccount";"Unambiguous identification of the account of the creditor to which a credit entry will be posted as a result of the payment transaction.";"OBCashAccountCreditor2";"";"";"";""
"SchemeName";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";""
"Name";"1..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.
OB: ASPSPs may carry out name validation for Confirmation of Payee, but it is not mandatory.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"CreditorPostalAddress";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";""
"AddressType";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";""
"Department";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";""
"SubDepartment";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";""
"StreetName";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";""
"BuildingNumber";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";""
"PostCode";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";""
"TownName";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";""
"CountrySubDivision";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";""
"Country";"0..1";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";""
"AddressLine";"0..7";"OBWriteDomesticScheduledConsent1/Data/Initiation/CreditorPostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";""
