"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBWriteInternational1";"";"OBWriteInternational1";"";"OBWriteInternational1";"";"";"";""
"Data";"1..1";"OBWriteInternational1/Data";"";"OBWriteDataInternational1";"";"";"";""
"ConsentId";"1..1";"OBWriteInternational1/Data/ConsentId";"OB: Unique identification as assigned by the ASPSP to uniquely identify the consent resource.";"Max128Text";"";"";"";""
"Initiation";"1..1";"OBWriteInternational1/Data/Initiation";"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single international payment.";"OBInternational1";"";"";"";""
"InstructionIdentification";"1..1";"OBWriteInternational1/Data/Initiation/InstructionIdentification";"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.

Usage: the  instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction. It can be included in several messages related to the instruction.";"Max35Text";"";"";"";""
"EndToEndIdentification";"1..1";"OBWriteInternational1/Data/Initiation/EndToEndIdentification";"Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain.

Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction. It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field.";"Max35Text";"";"";"";""
"LocalInstrument";"0..1";"OBWriteInternational1/Data/Initiation/LocalInstrument";"User community specific instrument.

Usage: This element is used to specify a local instrument, local clearing option and/or further qualify the service or service level.";"Max35Text";"";"";"";""
"InstructionPriority";"0..1";"OBWriteInternational1/Data/Initiation/InstructionPriority";"Indicator of the urgency or order of importance that the instructing party would like the instructed party to apply to the processing of the instruction.";"OBPriority2Code";"Normal
Urgent";"";"";""
"Purpose";"0..1";"OBWriteInternational1/Data/Initiation/Purpose";"Specifies the external purpose code in the format of character string with a maximum length of 35 characters.
The list of valid codes is an external code list published separately.
External code sets can be downloaded from www.iso20022.org.";"ExternalPurposeCode";"";"";"";""
"ChargeBearer";"0..1";"OBWriteInternational1/Data/Initiation/ChargeBearer";"Specifies which party/parties will bear the charges associated with the processing of the payment transaction.";"OBChargeBearerType1Code";"BorneByCreditor
BorneByDebtor
FollowingServiceLevel
Shared";"";"";""
"CurrencyOfTransfer";"1..1";"OBWriteInternational1/Data/Initiation/CurrencyOfTransfer";"Specifies the currency of the to be transferred amount, which is different from the currency of the debtor's account.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"InstructedAmount";"1..1";"OBWriteInternational1/Data/Initiation/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.

Usage: This amount has to be transported unchanged through the transaction chain.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBWriteInternational1/Data/Initiation/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";""
"Currency";"1..1";"OBWriteInternational1/Data/Initiation/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"ExchangeRateInformation";"0..1";"OBWriteInternational1/Data/Initiation/ExchangeRateInformation";"Provides details on the currency exchange rate and contract.";"OBExchangeRate1";"";"";"";""
"UnitCurrency";"1..1";"OBWriteInternational1/Data/Initiation/ExchangeRateInformation/UnitCurrency";"Currency in which the rate of exchange is expressed in a currency exchange. In the example 1GBP = xxxCUR, the unit currency is GBP.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"ExchangeRate";"0..1";"OBWriteInternational1/Data/Initiation/ExchangeRateInformation/ExchangeRate";"The factor used for conversion of an amount from one currency to another. This reflects the price at which one currency was bought with another currency.";"BaseOneRate";"";"";"11";"10"
"RateType";"1..1";"OBWriteInternational1/Data/Initiation/ExchangeRateInformation/RateType";"Specifies the type used to complete the currency exchange.";"OBExchangeRateType2Code";"Actual
Agreed
Indicative";"";"";""
"ContractIdentification";"0..1";"OBWriteInternational1/Data/Initiation/ExchangeRateInformation/ContractIdentification";"Unique and unambiguous reference to the foreign exchange contract agreed between the initiating party/creditor and the debtor agent.";"Max256Text";"";"";"";""
"DebtorAccount";"0..1";"OBWriteInternational1/Data/Initiation/DebtorAccount";"Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction.";"OBCashAccountDebtor3";"";"";"";""
"SchemeName";"1..1";"OBWriteInternational1/Data/Initiation/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBWriteInternational1/Data/Initiation/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";""
"Name";"0..1";"OBWriteInternational1/Data/Initiation/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteInternational1/Data/Initiation/DebtorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"Creditor";"0..1";"OBWriteInternational1/Data/Initiation/Creditor";"Party to which an amount of money is due.";"OBPartyIdentification43";"";"";"";""
"Name";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/Name";"Name by which a party is known and which is usually used to identify that party.";"Max140Text";"";"";"";""
"PostalAddress";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";""
"AddressType";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";""
"Department";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";""
"SubDepartment";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";""
"StreetName";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";""
"BuildingNumber";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";""
"PostCode";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";""
"TownName";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";""
"CountrySubDivision";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";""
"Country";"0..1";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";""
"AddressLine";"0..7";"OBWriteInternational1/Data/Initiation/Creditor/PostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";""
"CreditorAgent";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent";"Financial institution servicing an account for the creditor.";"OBBranchAndFinancialInstitutionIdentification3";"";"";"";""
"SchemeName";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/Identification";"Unique and unambiguous identification of a financial institution or a branch of a financial institution.";"Max35Text";"";"";"";""
"Name";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/Name";"Name by which an agent is known and which is usually used to identify that agent.";"Max140Text";"";"";"";""
"PostalAddress";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";""
"AddressType";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";""
"Department";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";""
"SubDepartment";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";""
"StreetName";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";""
"BuildingNumber";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";""
"PostCode";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";""
"TownName";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";""
"CountrySubDivision";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";""
"Country";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";""
"AddressLine";"0..7";"OBWriteInternational1/Data/Initiation/CreditorAgent/PostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";""
"CreditorAccount";"1..1";"OBWriteInternational1/Data/Initiation/CreditorAccount";"Unambiguous identification of the account of the creditor to which a credit entry will be posted as a result of the payment transaction.";"OBCashAccountCreditor2";"";"";"";""
"SchemeName";"1..1";"OBWriteInternational1/Data/Initiation/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBWriteInternational1/Data/Initiation/CreditorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";""
"Name";"1..1";"OBWriteInternational1/Data/Initiation/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.
OB: ASPSPs may carry out name validation for Confirmation of Payee, but it is not mandatory.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteInternational1/Data/Initiation/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"RemittanceInformation";"0..1";"OBWriteInternational1/Data/Initiation/RemittanceInformation";"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system.";"OBRemittanceInformation1";"";"";"";""
"Unstructured";"0..1";"OBWriteInternational1/Data/Initiation/RemittanceInformation/Unstructured";"Information supplied to enable the matching/reconciliation of an entry with the items that the payment is intended to settle, such as commercial invoices in an accounts' receivable system, in an unstructured form.";"Max140Text";"";"";"";""
"Reference";"0..1";"OBWriteInternational1/Data/Initiation/RemittanceInformation/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.
OB: The Faster Payments Scheme can only accept 18 characters for the ReferenceInformation field - which is where this ISO field will be mapped.";"Max35Text";"";"";"";""
"Risk";"1..1";"OBWriteInternational1/Risk";"The Risk section is sent by the initiating party to the ASPSP. It is used to specify additional details for risk scoring for Payments.";"OBRisk1";"";"";"";""
"PaymentContextCode";"0..1";"OBWriteInternational1/Risk/PaymentContextCode";"Specifies the payment context";"OBExternalPaymentContext1Code";"BillPayment
EcommerceGoods
EcommerceServices
Other
PartyToParty";"";"";""
"MerchantCategoryCode";"0..1";"OBWriteInternational1/Risk/MerchantCategoryCode";"Category code conform to ISO 18245, related to the type of services or goods the merchant provides for the transaction.";"Min3Max4Text";"";"";"";""
"MerchantCustomerIdentification";"0..1";"OBWriteInternational1/Risk/MerchantCustomerIdentification";"The unique customer identifier of the PSU with the merchant.";"Max70Text";"";"";"";""
"DeliveryAddress";"0..1";"OBWriteInternational1/Risk/DeliveryAddress";"Information that locates and identifies a specific address, as defined by postal services or in free format text.";"PostalAddress18";"";"";"";""
"AddressLine";"0..2";"OBWriteInternational1/Risk/DeliveryAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, that is presented in free format text.";"Max70Text";"";"";"";""
"StreetName";"0..1";"OBWriteInternational1/Risk/DeliveryAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";""
"BuildingNumber";"0..1";"OBWriteInternational1/Risk/DeliveryAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";""
"PostCode";"0..1";"OBWriteInternational1/Risk/DeliveryAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";""
"TownName";"1..1";"OBWriteInternational1/Risk/DeliveryAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";""
"CountrySubDivision";"0..1";"OBWriteInternational1/Risk/DeliveryAddress/CountrySubDivision";"Identifies a subdivision of a country, for instance state, region, county.";"Max35Text";"";"";"";""
