"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBReadStandingOrder4";"";"OBReadStandingOrder4";"";"OBReadStandingOrder4";"";"";"";""
"Data";"1..1";"OBReadStandingOrder4/Data";"";"OBReadDataStandingOrder4";"";"";"";""
"StandingOrder";"0..n";"OBReadStandingOrder4/Data/StandingOrder";"";"OBStandingOrder4";"";"";"";""
"AccountId";"1..1";"OBReadStandingOrder4/Data/StandingOrder/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"StandingOrderId";"0..1";"OBReadStandingOrder4/Data/StandingOrder/StandingOrderId";"A unique and immutable identifier used to identify the standing order resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";""
"Frequency";"1..1";"OBReadStandingOrder4/Data/StandingOrder/Frequency";"Individual Definitions:
EvryDay - Every day
EvryWorkgDay - Every working day
IntrvlWkDay - An interval specified in weeks (01 to 09), and the day within the week (01 to 07)
WkInMnthDay - A monthly interval, specifying the week of the month (01 to 05) and day within the week (01 to 07)
IntrvlMnthDay - An interval specified in months (between 01 to 06, 12, 24), specifying the day within the month (-5 to -1, 1 to 31)
QtrDay - Quarterly (either ENGLISH, SCOTTISH, or RECEIVED)
ENGLISH = Paid on the 25th March, 24th June, 29th September and 25th December. 
SCOTTISH = Paid on the 2nd February, 15th May, 1st August and 11th November.
RECEIVED = Paid on the 20th March, 19th June, 24th September and 20th December. 

Individual Patterns:
EvryDay (ScheduleCode)
EvryWorkgDay (ScheduleCode)
IntrvlWkDay:IntervalInWeeks:DayInWeek (ScheduleCode + IntervalInWeeks + DayInWeek)
WkInMnthDay:WeekInMonth:DayInWeek (ScheduleCode + WeekInMonth + DayInWeek)
IntrvlMnthDay:IntervalInMonths:DayInMonth (ScheduleCode + IntervalInMonths + DayInMonth)
QtrDay: + either (ENGLISH, SCOTTISH or RECEIVED) ScheduleCode + QuarterDay

The regular expression for this element combines five smaller versions for each permitted pattern. To aid legibility - the components are presented individually here:
EvryDay
EvryWorkgDay
IntrvlWkDay:0[1-9]:0[1-7]
WkInMnthDay:0[1-5]:0[1-7]
IntrvlMnthDay:(0[1-6]|12|24):(-0[1-5]|0[1-9]|[12][0-9]|3[01])
QtrDay:(ENGLISH|SCOTTISH|RECEIVED)

Full Regular Expression:
^(EvryDay)$|^(EvryWorkgDay)$|^(IntrvlWkDay:0[1-9]:0[1-7])$|^(WkInMnthDay:0[1-5]:0[1-7])$|^(IntrvlMnthDay:(0[1-6]|12|24):(-0[1-5]|0[1-9]|[12][0-9]|3[01]))$|^(QtrDay:(ENGLISH|SCOTTISH|RECEIVED))$";"Max35Text";"";"^(EvryDay)$|^(EvryWorkgDay)$|^(IntrvlWkDay:0[1-9]:0[1-7])$|^(WkInMnthDay:0[1-5]:0[1-7])$|^(IntrvlMnthDay:(0[1-6]|12|24):(-0[1-5]|0[1-9]|[12][0-9]|3[01]))$|^(QtrDay:(ENGLISH|SCOTTISH|RECEIVED))$";"";""
"Reference";"0..1";"OBReadStandingOrder4/Data/StandingOrder/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.";"Max35Text";"";"";"";""
"FirstPaymentDateTime";"0..1";"OBReadStandingOrder4/Data/StandingOrder/FirstPaymentDateTime";"The date on which the first payment for a Standing Order schedule will be made.";"ISODateTime";"";"";"";""
"NextPaymentDateTime";"0..1";"OBReadStandingOrder4/Data/StandingOrder/NextPaymentDateTime";"The date on which the next payment for a Standing Order schedule will be made.  This field is mandatory for Active Standing Orders.";"ISODateTime";"";"";"";""
"FinalPaymentDateTime";"0..1";"OBReadStandingOrder4/Data/StandingOrder/FinalPaymentDateTime";"The date on which the final payment for a Standing Order schedule will be made.";"ISODateTime";"";"";"";""
"StandingOrderStatusCode";"0..1";"OBReadStandingOrder4/Data/StandingOrder/StandingOrderStatusCode";"Specifies the status of the standing order in code form.";"OBExternalStandingOrderStatus1Code";"Active
Inactive";"";"";""
"FirstPaymentAmount";"0..1";"OBReadStandingOrder4/Data/StandingOrder/FirstPaymentAmount";"The amount of the first Standing Order";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
