"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBWriteFileConsent2";"";"OBWriteFileConsent2";"";"OBWriteFileConsent2";"";"";"";""
"Data";"1..1";"OBWriteFileConsent2/Data";"";"OBWriteDataFileConsent2";"";"";"";""
"Initiation";"1..1";"OBWriteFileConsent2/Data/Initiation";"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds using a payment file.";"OBFile2";"";"";"";""
"FileType";"1..1";"OBWriteFileConsent2/Data/Initiation/FileType";"Specifies the payment file type.";"Max40Text";"";"";"";""
"FileHash";"1..1";"OBWriteFileConsent2/Data/Initiation/FileHash";"A base64 encoding of a SHA256 hash of the file to be uploaded.";"Max44Text";"";"";"";""
"FileReference";"0..1";"OBWriteFileConsent2/Data/Initiation/FileReference";"Reference for the file.";"Max40Text";"";"";"";""
"NumberOfTransactions";"0..1";"OBWriteFileConsent2/Data/Initiation/NumberOfTransactions";"Number of individual transactions contained in the payment information group.";"Max15NumericText";"";"[0-9]{1,15}";"";""
"ControlSum";"0..1";"OBWriteFileConsent2/Data/Initiation/ControlSum";"Total of all individual amounts included in the group, irrespective of currencies.";"DecimalNumber";"";"";"18";"17"
"RequestedExecutionDateTime";"0..1";"OBWriteFileConsent2/Data/Initiation/RequestedExecutionDateTime";"Date at which the initiating party requests the clearing agent to process the payment. 
Usage: This is the date on which the debtor's account is to be debited.";"ISODateTime";"";"";"";""
"LocalInstrument";"0..1";"OBWriteFileConsent2/Data/Initiation/LocalInstrument";"User community specific instrument.

Usage: This element is used to specify a local instrument, local clearing option and/or further qualify the service or service level.";"Max35Text";"";"";"";""
"DebtorAccount";"0..1";"OBWriteFileConsent2/Data/Initiation/DebtorAccount";"Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction.";"OBCashAccountDebtor3";"";"";"";""
"SchemeName";"1..1";"OBWriteFileConsent2/Data/Initiation/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBWriteFileConsent2/Data/Initiation/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";""
"Name";"0..1";"OBWriteFileConsent2/Data/Initiation/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteFileConsent2/Data/Initiation/DebtorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"RemittanceInformation";"0..1";"OBWriteFileConsent2/Data/Initiation/RemittanceInformation";"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system.";"OBRemittanceInformation1";"";"";"";""
"Unstructured";"0..1";"OBWriteFileConsent2/Data/Initiation/RemittanceInformation/Unstructured";"Information supplied to enable the matching/reconciliation of an entry with the items that the payment is intended to settle, such as commercial invoices in an accounts' receivable system, in an unstructured form.";"Max140Text";"";"";"";""
"Reference";"0..1";"OBWriteFileConsent2/Data/Initiation/RemittanceInformation/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.
OB: The Faster Payments Scheme can only accept 18 characters for the ReferenceInformation field - which is where this ISO field will be mapped.";"Max35Text";"";"";"";""
"SupplementaryData";"0..1";"OBWriteFileConsent2/Data/Initiation/SupplementaryData";"Additional information that can not be captured in the structured fields and/or any other specific block.";"OBSupplementaryData1";"";"";"";""
"Authorisation";"0..1";"OBWriteFileConsent2/Data/Authorisation";"The authorisation type request from the TPP.";"OBAuthorisation1";"";"";"";""
"AuthorisationType";"1..1";"OBWriteFileConsent2/Data/Authorisation/AuthorisationType";"Type of authorisation flow requested.";"OBExternalAuthorisation1Code";"Any
Single";"";"";""
"CompletionDateTime";"0..1";"OBWriteFileConsent2/Data/Authorisation/CompletionDateTime";"Date and time at which the requested authorisation flow must be completed.";"ISODateTime";"";"";"";""
