"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"OBWriteInternationalScheduled2";"";"OBWriteInternationalScheduled2";"";"OBWriteInternationalScheduled2";"";"";"";""
"Data";"1..1";"OBWriteInternationalScheduled2/Data";"";"OBWriteDataInternationalScheduled2";"";"";"";""
"ConsentId";"1..1";"OBWriteInternationalScheduled2/Data/ConsentId";"OB: Unique identification as assigned by the ASPSP to uniquely identify the consent resource.";"Max128Text";"";"";"";""
"Initiation";"1..1";"OBWriteInternationalScheduled2/Data/Initiation";"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single scheduled international payment.";"OBInternationalScheduled1_2";"";"";"";""
"InstructionIdentification";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/InstructionIdentification";"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.

Usage: the  instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction. It can be included in several messages related to the instruction.";"Max35Text";"";"";"";""
"EndToEndIdentification";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/EndToEndIdentification";"Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain.

Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction. It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field.";"Max35Text";"";"";"";""
"DebtorAccountCurrency";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/DebtorAccountCurrency";"Identification of the currency in which the account is held. 

Usage: Currency should only be used in case one and the same account number covers several currencies
and the initiating party needs to identify which currency needs to be used for settlement on the account.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CurrencyOfTransfer";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CurrencyOfTransfer";"Specifies the currency of the to be transferred amount, which is different from the currency of the debtor's account.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"InstructionPriority";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/InstructionPriority";"Indicator of the urgency or order of importance that the instructing party would like the instructed party to apply to the processing of the instruction.";"OBPriority2Code";"High
Low
Normal
Urgent";"";"";""
"PurposeCode";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/PurposeCode";"Underlying reason for the payment transaction, as published in an external purpose code list.";"Max4Text";"";"";"";""
"RequestedExecutionDateTime";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/RequestedExecutionDateTime";"Date at which the initiating party requests the clearing agent to process the payment. 
Usage: This is the date on which the debtor's account is to be debited. If payment by cheque, the date when the cheque must be generated by the bank.";"ISODateTime";"";"";"";""
"PoolingAdjustmentDateTime";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/PoolingAdjustmentDateTime";"Date used for the correction of the value date of a cash pool movement that has been posted with a different value date.";"ISODateTime";"";"";"";""
"NonWorkingDayAdjustment";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/NonWorkingDayAdjustment";"Convention used for adjusting a date when it is not a business day.";"OBBusinessDayConvention1Code";"Following
Preceding";"";"";""
"InstructedAmount";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.

Usage: This amount has to be transported unchanged through the transaction chain.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";""
"Currency";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"DebtorAccount";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/DebtorAccount";"Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction.";"OBCashAccountDebtor2";"";"";"";""
"SchemeName";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification3Code";"IBAN
Other
PAN
SortCodeAccountNumber";"";"";""
"Identification";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max34Text";"";"";"";""
"Name";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution, in agreement with the account owner in order to provide an additional means of identification of the account.

Usage: The account name is different from the account owner name. The account name is used in certain user communities to provide a means of identifying the account, in addition to the account owner's identity and the account number.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/DebtorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"ChargesAccount";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/ChargesAccount";"Account used to process charges associated with a transaction.

Usage: Charges account should be used when charges have to be booked to an account different from the account identified in debtor's account.";"OBCashAccountDebtor2";"";"";"";""
"SchemeName";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/ChargesAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification3Code";"IBAN
Other
PAN
SortCodeAccountNumber";"";"";""
"Identification";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/ChargesAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max34Text";"";"";"";""
"Name";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/ChargesAccount/Name";"Name of the account, as assigned by the account servicing institution, in agreement with the account owner in order to provide an additional means of identification of the account.

Usage: The account name is different from the account owner name. The account name is used in certain user communities to provide a means of identifying the account, in addition to the account owner's identity and the account number.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/ChargesAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"CreditorAgent";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent";"Financial institution servicing an account for the creditor.";"OBBranchAndFinancialInstitutionIdentification3";"";"";"";""
"SchemeName";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
