"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"OBReadAccount3";"";"OBReadAccount3";"";"OBReadAccount3";"";"";"";"";""
"Data";"1..1";"OBReadAccount3/Data";"";"OBReadDataAccount3";"";"";"";"";""
"Account";"0..n";"OBReadAccount3/Data/Account";"Unambiguous identification of the account to which credit and debit entries are made.";"OBAccount3";"";"";"";"";""
"AccountId";"1..1";"OBReadAccount3/Data/Account/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"Currency";"1..1";"OBReadAccount3/Data/Account/Currency";"Identification of the currency in which the account is held. 

Usage: Currency should only be used in case one and the same account number covers several currencies
and the initiating party needs to identify which currency needs to be used for settlement on the account.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"AccountType";"1..1";"OBReadAccount3/Data/Account/AccountType";"Specifies the type of account (personal or business).";"OBExternalAccountType1Code";"Business
Personal";"";"";"";"35"
"AccountSubType";"1..1";"OBReadAccount3/Data/Account/AccountSubType";"Specifies the sub type of account (product family group).";"OBExternalAccountSubType1Code";"ChargeCard
CreditCard
CurrentAccount
EMoney
Loan
Mortgage
PrePaidCard
Savings";"";"";"";"35"
"Description";"0..1";"OBReadAccount3/Data/Account/Description";"Specifies the description of the account type.";"Max35Text";"";"";"";"";"35"
"Nickname";"0..1";"OBReadAccount3/Data/Account/Nickname";"The nickname of the account, assigned by the account owner in order to provide an additional means of identification of the account.";"Max70Text";"";"";"";"";"70"
"Account";"0..n";"OBReadAccount3/Data/Account/Account";"Provides the details to identify an account.";"OBCashAccount5";"";"";"";"";""
"SchemeName";"1..1";"OBReadAccount3/Data/Account/Account/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification4Code";"UK.OBIE.BBAN
UK.OBIE.IBAN
UK.OBIE.PAN
UK.OBIE.Paym
UK.OBIE.SortCodeAccountNumber";"";"";"";"40"
"Identification";"1..1";"OBReadAccount3/Data/Account/Account/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";"";"256"
"Name";"0..1";"OBReadAccount3/Data/Account/Account/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";"";"70"
"SecondaryIdentification";"0..1";"OBReadAccount3/Data/Account/Account/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";"";"34"
"Servicer";"0..1";"OBReadAccount3/Data/Account/Servicer";"Party that manages the account on behalf of the account owner, that is manages the registration and booking of entries on the account, calculates balances on the account and provides information about the account.";"OBBranchAndFinancialInstitutionIdentification5";"";"";"";"";""
"SchemeName";"1..1";"OBReadAccount3/Data/Account/Servicer/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalFinancialInstitutionIdentification4Code";" UK.OBIE.BICFI";"";"";"";"40"
"Identification";"1..1";"OBReadAccount3/Data/Account/Servicer/Identification";"Unique and unambiguous identification of the servicing institution.";"Max35Text";"";"";"";"";"35"
