"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"OBReadBalance1";"";"OBReadBalance1";"";"OBReadBalance1";"";"";"";"";""
"Data";"1..1";"OBReadBalance1/Data";"";"OBReadDataBalance1";"";"";"";"";""
"Balance";"1..n";"OBReadBalance1/Data/Balance";"Set of elements used to define the balance details.";"OBCashBalance1";"";"";"";"";""
"AccountId";"1..1";"OBReadBalance1/Data/Balance/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"CreditDebitIndicator";"1..1";"OBReadBalance1/Data/Balance/CreditDebitIndicator";"Indicates whether the balance is a credit or a debit balance. 
Usage: A zero balance is considered to be a credit balance.";"OBCreditDebitCode";"Credit
Debit";"";"";"";""
"Type";"1..1";"OBReadBalance1/Data/Balance/Type";"Balance type, in a coded form.";"OBBalanceType1Code";"ClosingAvailable
ClosingBooked
ClosingCleared
Expected
ForwardAvailable
Information
InterimAvailable
InterimBooked
InterimCleared
OpeningAvailable
OpeningBooked
OpeningCleared
PreviouslyClosedBooked";"";"";"";""
"DateTime";"1..1";"OBReadBalance1/Data/Balance/DateTime";"Indicates the date (and time) of the balance.";"ISODateTime";"";"";"";"";""
"Amount";"1..1";"OBReadBalance1/Data/Balance/Amount";"Amount of money of the cash balance.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadBalance1/Data/Balance/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadBalance1/Data/Balance/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"CreditLine";"0..n";"OBReadBalance1/Data/Balance/CreditLine";"Set of elements used to provide details on the credit line.";"OBCreditLine1";"";"";"";"";""
"Included";"1..1";"OBReadBalance1/Data/Balance/CreditLine/Included";"Indicates whether or not the credit line is included in the balance of the account.

Usage: If not present, credit line is not included in the balance amount of the account.";"xs:boolean";"";"";"";"";""
"Type";"0..1";"OBReadBalance1/Data/Balance/CreditLine/Type";"Limit type, in a coded form.";"OBExternalLimitType1Code";"Available
Credit
Emergency
Pre-Agreed
Temporary";"";"";"";"35"
"Amount";"0..1";"OBReadBalance1/Data/Balance/CreditLine/Amount";"Amount of money of the credit line.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadBalance1/Data/Balance/CreditLine/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadBalance1/Data/Balance/CreditLine/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
