"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"OBReadTransaction4";"";"OBReadTransaction4";"";"OBReadTransaction4";"";"";"";"";""
"Data";"1..1";"OBReadTransaction4/Data";"";"OBReadDataTransaction4";"";"";"";"";""
"Transaction";"0..n";"OBReadTransaction4/Data/Transaction";"Provides further details on an entry in the report.";"OBTransaction4";"";"";"";"";""
"AccountId";"1..1";"OBReadTransaction4/Data/Transaction/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"TransactionId";"0..1";"OBReadTransaction4/Data/Transaction/TransactionId";"Unique identifier for the transaction within an servicing institution. This identifier is both unique and immutable.";"Max40Text";"";"";"";"";"40"
"TransactionReference";"0..1";"OBReadTransaction4/Data/Transaction/TransactionReference";"Unique reference for the transaction. This reference is optionally populated, and may as an example be the FPID in the Faster Payments context.";"Max35Text";"";"";"";"";"35"
"StatementReference";"0..n";"OBReadTransaction4/Data/Transaction/StatementReference";"Unique reference for the statement. This reference may be optionally populated if available.";"Max35Text";"";"";"";"";"35"
"CreditDebitIndicator";"1..1";"OBReadTransaction4/Data/Transaction/CreditDebitIndicator";"Indicates whether the transaction is a credit or a debit entry.";"OBCreditDebitCode";"Credit
Debit";"";"";"";""
"Status";"1..1";"OBReadTransaction4/Data/Transaction/Status";"Status of a transaction entry on the books of the account servicer.";"OBEntryStatus1Code";"Booked
Pending";"";"";"";""
"BookingDateTime";"1..1";"OBReadTransaction4/Data/Transaction/BookingDateTime";"Date and time when a transaction entry is posted to an account on the account servicer's books.

Usage: Booking date is the expected booking date, unless the status is booked, in which case it is the actual booking date.";"ISODateTime";"";"";"";"";""
"ValueDateTime";"0..1";"OBReadTransaction4/Data/Transaction/ValueDateTime";"Date and time at which assets become available to the account owner in case of a credit entry, or cease to be available to the account owner in case of a debit transaction entry.
Usage: If transaction entry status is pending and value date is present, then the value date refers to an expected/requested value date.
For transaction entries subject to availability/float and for which availability information is provided, the value date must not be used. In this case the availability component identifies the number of availability days.";"ISODateTime";"";"";"";"";""
"TransactionInformation";"0..1";"OBReadTransaction4/Data/Transaction/TransactionInformation";"Further details of the transaction. 
This is the transaction narrative, which is unstructured text.";"Max500Text";"";"";"";"";"500"
"AddressLine";"0..1";"OBReadTransaction4/Data/Transaction/AddressLine";"Information that locates and identifies a specific address for a transaction entry, that is presented in free format text.";"Max70Text";"";"";"";"";"70"
"Amount";"1..1";"OBReadTransaction4/Data/Transaction/Amount";"Amount of money in the cash transaction entry.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadTransaction4/Data/Transaction/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
