"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"OBWriteFileResponse2";"";"OBWriteFileResponse2";"";"OBWriteFileResponse2";"";"";"";"";""
"Data";"1..1";"OBWriteFileResponse2/Data";"";"OBWriteDataFileResponse2";"";"";"";"";""
"FilePaymentId";"1..1";"OBWriteFileResponse2/Data/FilePaymentId";"OB: Unique identification as assigned by the ASPSP to uniquely identify the file payment resource.";"Max40Text";"";"";"";"";"40"
"ConsentId";"1..1";"OBWriteFileResponse2/Data/ConsentId";"OB: Unique identification as assigned by the ASPSP to uniquely identify the consent resource.";"Max128Text";"";"";"";"";"128"
"CreationDateTime";"1..1";"OBWriteFileResponse2/Data/CreationDateTime";"Date and time at which the message was created.";"ISODateTime";"";"";"";"";""
"Status";"1..1";"OBWriteFileResponse2/Data/Status";"Specifies the status of the payment order resource.";"OBExternalStatus1Code";"InitiationCompleted
InitiationFailed
InitiationPending";"";"";"";"35"
"StatusUpdateDateTime";"1..1";"OBWriteFileResponse2/Data/StatusUpdateDateTime";"Date and time at which the resource status was updated.";"ISODateTime";"";"";"";"";""
"Charges";"0..n";"OBWriteFileResponse2/Data/Charges";"Set of elements used to provide details of a charge for the payment initiation.";"OBCharge2";"";"";"";"";""
"ChargeBearer";"1..1";"OBWriteFileResponse2/Data/Charges/ChargeBearer";"Specifies which party/parties will bear the charges associated with the processing of the payment transaction.";"OBChargeBearerType1Code";"BorneByCreditor
BorneByDebtor
FollowingServiceLevel
Shared";"";"";"";""
"Type";"1..1";"OBWriteFileResponse2/Data/Charges/Type";"Charge type, in a coded form.";"OBExternalPaymentChargeType1Code";"UK.OBIE.CHAPSOut";"";"";"";"40"
"Amount";"1..1";"OBWriteFileResponse2/Data/Charges/Amount";"Amount of money associated with the charge type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBWriteFileResponse2/Data/Charges/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBWriteFileResponse2/Data/Charges/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
