"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"OBWriteInternationalScheduledConsentResponse2";"";"OBWriteInternationalScheduledConsentResponse2";"";"OBWriteInternationalScheduledConsentResponse2";"";"";"";"";""
"Data";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data";"";"OBWriteDataInternationalScheduledConsentResponse2";"";"";"";"";""
"ConsentId";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/ConsentId";"OB: Unique identification as assigned by the ASPSP to uniquely identify the consent resource.";"Max128Text";"";"";"";"";"128"
"CreationDateTime";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/CreationDateTime";"Date and time at which the resource was created.";"ISODateTime";"";"";"";"";""
"Status";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/Status";"Specifies the status of consent resource in code form.";"OBExternalConsentStatus1Code";"Authorised
AwaitingAuthorisation
Consumed
Rejected";"";"";"";"35"
"StatusUpdateDateTime";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/StatusUpdateDateTime";"Date and time at which the resource status was updated.";"ISODateTime";"";"";"";"";""
"Permission";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/Permission";"Specifies the Open Banking service request types.";"OBExternalPermissions2Code";"Create";"";"";"";"35"
"CutOffDateTime";"0..1";"OBWriteInternationalScheduledConsentResponse2/Data/CutOffDateTime";"Specified cut-off date and time for the payment consent.";"ISODateTime";"";"";"";"";""
"ExpectedExecutionDateTime";"0..1";"OBWriteInternationalScheduledConsentResponse2/Data/ExpectedExecutionDateTime";"Expected execution date and time for the payment resource.";"ISODateTime";"";"";"";"";""
"ExpectedSettlementDateTime";"0..1";"OBWriteInternationalScheduledConsentResponse2/Data/ExpectedSettlementDateTime";"Expected settlement date and time for the payment resource.";"ISODateTime";"";"";"";"";""
"Charges";"0..n";"OBWriteInternationalScheduledConsentResponse2/Data/Charges";"Set of elements used to provide details of a charge for the payment initiation.";"OBCharge2";"";"";"";"";""
"ChargeBearer";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/Charges/ChargeBearer";"Specifies which party/parties will bear the charges associated with the processing of the payment transaction.";"OBChargeBearerType1Code";"BorneByCreditor
BorneByDebtor
FollowingServiceLevel
Shared";"";"";"";""
"Type";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/Charges/Type";"Charge type, in a coded form.";"OBExternalPaymentChargeType1Code";"UK.OBIE.CHAPSOut";"";"";"";"40"
"Amount";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/Charges/Amount";"Amount of money associated with the charge type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/Charges/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/Charges/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"ExchangeRateInformation";"0..1";"OBWriteInternationalScheduledConsentResponse2/Data/ExchangeRateInformation";"Further detailed information on the exchange rate that has been used in the payment transaction.";"OBExchangeRate2";"";"";"";"";""
"UnitCurrency";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/ExchangeRateInformation/UnitCurrency";"Currency in which the rate of exchange is expressed in a currency exchange. In the example 1GBP = xxxCUR, the unit currency is GBP.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"ExchangeRate";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/ExchangeRateInformation/ExchangeRate";"The factor used for conversion of an amount from one currency to another. This reflects the price at which one currency was bought with another currency.";"BaseOneRate";"";"";"11";"10";""
"RateType";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/ExchangeRateInformation/RateType";"Specifies the type used to complete the currency exchange.";"OBExchangeRateType2Code";"Actual
Agreed
Indicative";"";"";"";""
"ContractIdentification";"0..1";"OBWriteInternationalScheduledConsentResponse2/Data/ExchangeRateInformation/ContractIdentification";"Unique and unambiguous reference to the foreign exchange contract agreed between the initiating party/creditor and the debtor agent.";"Max256Text";"";"";"";"";"256"
"ExpirationDateTime";"0..1";"OBWriteInternationalScheduledConsentResponse2/Data/ExchangeRateInformation/ExpirationDateTime";"Specified date and time the exchange rate agreement will expire.";"ISODateTime";"";"";"";"";""
"Initiation";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/Initiation";"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single scheduled international payment.";"OBInternationalScheduled2";"";"";"";"";""
"InstructionIdentification";"1..1";"OBWriteInternationalScheduledConsentResponse2/Data/Initiation/InstructionIdentification";"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.

Usage: the  instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction. It can be included in several messages related to the instruction.";"Max35Text";"";"";"";"";"35"
"EndToEndIdentification";"0..1";"OBWriteInternationalScheduledConsentResponse2/Data/Initiation/EndToEndIdentification";"Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain.

Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction. It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field.";"Max35Text";"";"";"";"";"35"
