"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"OBCallbackUrl1";"";"OBCallbackUrl1";"";"OBCallbackUrl1";"";"";"";"";""
"Data";"1..1";"OBCallbackUrl1/Data";"";"OBCallbackUrlData1";"";"";"";"";""
"Url";"1..1";"OBCallbackUrl1/Data/Url";"Callback URL for a TPP hosted service. Will be used by ASPSPs, in conjunction with the resource name, to construct a URL to send event notifications to.";"xs:anyURI";"";"";"";"";""
"Version";"1..1";"OBCallbackUrl1/Data/Version";"Version for the event notification.";"Max10Text";"";"";"";"";"10"
"OBCallbackUrlResponse1";"";"OBCallbackUrlResponse1";"";"OBCallbackUrlResponse1";"";"";"";"";""
"Data";"1..1";"OBCallbackUrlResponse1/Data";"";"OBCallbackUrlResponseData1";"";"";"";"";""
"CallbackUrlId";"1..1";"OBCallbackUrlResponse1/Data/CallbackUrlId";"Unique identification as assigned by the ASPSP to uniquely identify the callback URL resource.";"Max40Text";"";"";"";"";"40"
"Url";"1..1";"OBCallbackUrlResponse1/Data/Url";"Callback URL for a TPP hosted service. Will be used by ASPSPs, in conjunction with the resource name, to construct a URL to send event notifications to.";"xs:anyURI";"";"";"";"";""
"Version";"1..1";"OBCallbackUrlResponse1/Data/Version";"Version for the event notification.";"Max10Text";"";"";"";"";"10"
"OBCallbackUrlsResponse1";"";"OBCallbackUrlsResponse1";"";"OBCallbackUrlsResponse1";"";"";"";"";""
"Data";"1..1";"OBCallbackUrlsResponse1/Data";"";"OBCallbackUrlsResponseData1";"";"";"";"";""
"CallbackUrl";"0..n";"OBCallbackUrlsResponse1/Data/CallbackUrl";"";"OBCallbackUrlResponseData1";"";"";"";"";""
"CallbackUrlId";"1..1";"OBCallbackUrlsResponse1/Data/CallbackUrl/CallbackUrlId";"Unique identification as assigned by the ASPSP to uniquely identify the callback url resource.";"Max40Text";"";"";"";"";"40"
"Url";"1..1";"OBCallbackUrlsResponse1/Data/CallbackUrl/Url";"Callback URL for a TPP hosted service. Will be used by ASPSPs, in conjunction with the resource name, to construct a URL to send event notifications to.";"xs:anyURI";"";"";"";"";""
"Version";"1..1";"OBCallbackUrlsResponse1/Data/CallbackUrl/Version";"Version for the event notification.";"Max10Text";"";"";"";"";"10"
"OBEventNotification1";"";"OBEventNotification1";"The resource-update event.";"OBEventNotification1";"";"";"";"";""
"iss";"1..1";"OBEventNotification1/iss";"Issuer.";"xs:anyURI";"";"";"";"";""
"iat";"1..1";"OBEventNotification1/iat";"Issued At.";"Max10NumericText";"";"[0-9]{1,10}";"";"";""
"jti";"1..1";"OBEventNotification1/jti";"JWT ID.";"Max128Text";"";"";"";"";"128"
"aud";"1..1";"OBEventNotification1/aud";"Audience.";"Max128Text";"";"";"";"";"128"
"sub";"1..1";"OBEventNotification1/sub";"Subject.";"xs:anyURI";"";"";"";"";""
"txn";"1..1";"OBEventNotification1/txn";"Transaction Identifier.";"Max128Text";"";"";"";"";"128"
"toe";"1..1";"OBEventNotification1/toe";"Time of Event.";"Max10NumericText";"";"[0-9]{1,10}";"";"";""
"events";"1..1";"OBEventNotification1/events";"Events.";"OBEvent1";"";"";"";"";""
"urn:uk:org:openbanking:events:resource-update";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update";"Resource-Update Event.";"OBEventResourceUpdate1";"";"";"";"";""
"subject";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject";"The resource-update event.";"OBEventSubject1";"";"";"";"";""
"subject_type";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/subject_type";"Subject type for the updated resource.";"Max128Text";"";"";"";"";"128"
"rid";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/rid";"Resource Id for the updated resource.";"Max128Text";"";"";"";"";"128"
"rty";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/rty";"Resource Type for the updated resource.";"Max128Text";"";"";"";"";"128"
"rlk";"1..n";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/rlk";"Resource links to other available versions of the resource.";"OBEventLink1";"";"";"";"";""
"version";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/rlk/version";"Resource version.";"Max10Text";"";"";"";"";"10"
"link";"1..1";"OBEventNotification1/events/urn:uk:org:openbanking:events:resource-update/subject/rlk/link";"Resource link.";"xs:anyURI";"";"";"";"";""
