"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"OBFundsConfirmation1";"";"OBFundsConfirmation1";"";"OBFundsConfirmation1";"";"";"";"";""
"Data";"1..1";"OBFundsConfirmation1/Data";"";"OBFundsConfirmationData1";"";"";"";"";""
"ConsentId";"1..1";"OBFundsConfirmation1/Data/ConsentId";"Unique identification as assigned by the ASPSP to uniquely identify the funds confirmation consent resource.";"Max128Text";"";"";"";"";"128"
"Reference";"1..1";"OBFundsConfirmation1/Data/Reference";"Unique reference, as assigned by the CBPII, to unambiguously refer to the request related to the payment transaction.";"Max35Text";"";"";"";"";"35"
"InstructedAmount";"1..1";"OBFundsConfirmation1/Data/InstructedAmount";"Amount of money to be confirmed as available funds in the debtor account. Contains an Amount and a Currency.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBFundsConfirmation1/Data/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBFundsConfirmation1/Data/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"OBFundsConfirmationConsent1";"";"OBFundsConfirmationConsent1";"";"OBFundsConfirmationConsent1";"";"";"";"";""
"Data";"1..1";"OBFundsConfirmationConsent1/Data";"";"OBFundsConfirmationConsentData1";"";"";"";"";""
"ExpirationDateTime";"0..1";"OBFundsConfirmationConsent1/Data/ExpirationDateTime";"Specified date and time the funds confirmation authorisation will expire.
 If this is not populated, the authorisation will be open ended.";"ISODateTime";"";"";"";"";""
"DebtorAccount";"1..1";"OBFundsConfirmationConsent1/Data/DebtorAccount";"Unambiguous identification of the account of the debtor to which a confirmation of funds consent will be applied.";"OBCashAccountDebtor4";"";"";"";"";""
"SchemeName";"1..1";"OBFundsConfirmationConsent1/Data/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification4Code";"UK.OBIE.BBAN
UK.OBIE.IBAN
UK.OBIE.PAN
UK.OBIE.Paym
UK.OBIE.SortCodeAccountNumber";"";"";"";"40"
"Identification";"1..1";"OBFundsConfirmationConsent1/Data/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";"";"256"
"Name";"0..1";"OBFundsConfirmationConsent1/Data/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";"";"70"
